#,Mobility Scooters,Price,Rating,Link,Top Review
1,Roscoe Medical Knee Walker Scooter with Basket and P  ...,$154.99 - $178.87,4.1/5.0,https://www.walmart.com/ip/Roscoe-Medical-Knee-Walker-Scooter-with-Basket-and-Padded-Seat-Black/30329307,blank
2,"Drive Medical Scout Compact Travel Power Scooter, 3   ...",$679.00 - $736.49,4.7/5.0,https://www.walmart.com/ip/Drive-Medical-Scout-Compact-Travel-Power-Scooter-3-Wheel/33651302,blank
3,"Drive Medical Scout Compact Travel Power Scooter, 4   ...",$699.00,4.3/5.0,https://www.walmart.com/ip/Drive-Medical-Scout-Compact-Travel-Power-Scooter-4-Wheel/33651307,blank
4,Drive Medical Bobcat X3 Compact Transportable Power   ...,$579.00,3.9/5.0,https://www.walmart.com/ip/Drive-Medical-Bobcat-X3-Compact-Transportable-Power-Mobility-Scooter-3-Wheel-Red/38445318,blank
5,Drive Medical Spitfire DST 4-Wheel Travel Scooter,"$1,249.00",3.8/5.0,https://www.walmart.com/ip/Drive-Medical-Spitfire-DST-4-Wheel-Travel-Scooter/652023602,blank
6,Silver Spring SC400-V2 Hitch Power Scooter Wheelchai  ...,$205.99,4.6/5.0,https://www.walmart.com/ip/Silver-Spring-SC400-V2-Hitch-Power-Scooter-Wheelchair-Carrier-Rack/29389754,blank
7,Drive Medical Spitfire EX2 4-Wheel Travel Scooter,"$999.00 - $1,049.00",0.0/5.0,https://www.walmart.com/ip/Drive-Medical-Spitfire-EX2-4-Wheel-Travel-Scooter/398014928,blank
8,Drive Medical ZooMe Three Wheel Recreational Power S  ...,$681.89,4.0/5.0,https://www.walmart.com/ip/Drive-Medical-ZooMe-Three-Wheel-Recreational-Power-Scooter/55149344,blank
9,Buzzaround EX Extreme 4 Wheel Mobility Scooter,"$1,995.00",0.0/5.0,https://www.walmart.com/ip/Buzzaround-EX-Extreme-4-Wheel-Mobility-Scooter/104216736,blank
10,"Pride VICTORY SPORT SC710, 4-wheel Mobility Scooter,  ...","$1,929.00",0.0/5.0,https://www.walmart.com/ip/Pride-VICTORY-SPORT-SC710-4-wheel-Mobility-Scooter-Blue/287941015,blank
11,EV Rider MiniRider MiniRider 4 Wheel Travel Scooter,"$1,249.00 - $1,299.00",0.0/5.0,https://www.walmart.com/ip/EV-Rider-MiniRider-MiniRider-4-Wheel-Travel-Scooter/112314070,blank
12,Drive Medical Scooter Basket,$74.31,3.4/5.0,https://www.walmart.com/ip/Drive-Medical-Scooter-Basket/15423334,blank
13,4 Wheel Travel Transportable Scooter Disabled Elderl  ...,$616.08,0.0/5.0,https://www.walmart.com/ip/4-Wheel-Travel-Transportable-Scooter-Disabled-Elderly-Kid-Scooter-Folding-Bike/266055184,blank
14,EV Rider Automatic FOLDING Scooter With Remote Lithi  ...,"$1,995.00",0.0/5.0,https://www.walmart.com/ip/EV-Rider-Automatic-FOLDING-Scooter-With-Remote-Lithium-Power-Mobility-SEA-FOAM-BLUE/836753708,blank
15,E-Wheels - EW-66 - 2-Passenger Heavy Duty Scooter -   ...,See details in cart,5.0/5.0,https://www.walmart.com/ip/E-Wheels-EW-66-2-Passenger-Heavy-Duty-Scooter-3-Wheel-Red/45948507,blank
16,"Drive Medical Phoenix Heavy Duty Power Scooter, 4 Wh  ...","$1,199.00 - $1,328.74",4.4/5.0,https://www.walmart.com/ip/Drive-Medical-Phoenix-Heavy-Duty-Power-Scooter-4-Wheel/33651321,blank
17,E-Wheels EW-36 3-Wheel Electric Senior Mobility Scoo  ...,"$2,099.00",5.0/5.0,https://www.walmart.com/ip/E-Wheels-EW-36-3-Wheel-Electric-Senior-Mobility-Scooter-Silver/131593668,blank
18,EV Rider TRANSPORT Automatic Folding Mobility Scoote  ...,"$1,995.00",4.0/5.0,https://www.walmart.com/ip/EV-Rider-TRANSPORT-Automatic-Folding-Mobility-Scooter-Red/943241600,blank
19,Zipr Mobility Zipr Roo 3 - Blue Basic Scooter Good E  ...,$629.00,0.0/5.0,https://www.walmart.com/ip/Zipr-Mobility-Zipr-Roo-3-Blue-Basic-Scooter-Good-Entry-Level-3-Wheels/143085379,blank
20,E-Wheels EW-18 400W Adult Sit/Stand Electric Mobilit  ...,$759.00,0.0/5.0,https://www.walmart.com/ip/E-Wheels-EW-18-400W-Adult-Sit-Stand-Electric-Mobility-Scooter-Red/45047239,blank
21,MotoTec Electric Trike 36v 350w,$649.00,0.0/5.0,https://www.walmart.com/ip/MotoTec-Electric-Trike-36v-350w/193359444,blank
22,4 Wheel Heavy Duty 500lbs. Wt. Capacity Scooter with  ...,"$2,999.00",5.0/5.0,https://www.walmart.com/ip/4-Wheel-Heavy-Duty-500lbs-Wt-Capacity-Scooter-with-Electromagnetic-Brakes-Red-EWHEELS/45010939,blank
23,4 Wheels Full covered scooter -500lb. Wt. Capacity S  ...,"$3,749.00",2.0/5.0,https://www.walmart.com/ip/4-Wheels-Full-covered-scooter-500lb-Wt-Capacity-Scooter-with-Electromagnetic-Brake-Red-EWHEELS/46916998,blank
24,Drive Medical Bobcat X4 Including VidaCura's extende  ...,$719.00,0.0/5.0,https://www.walmart.com/ip/Drive-Medical-Bobcat-X4-Including-VidaCura-s-extended-5-Year-warranty/237409152,blank
25,eWheels Sporty Electric 3 Wheeled Mobility Scooter -  ...,"$1,099.00",0.0/5.0,https://www.walmart.com/ip/eWheels-Sporty-Electric-3-Wheeled-Mobility-Scooter-15-MPH-EW-19/336586634,blank
26,Luggie Classic Foldable Power Mobility Scooter - Red,"$1,699.00",5.0/5.0,https://www.walmart.com/ip/Luggie-Classic-Foldable-Power-Mobility-Scooter-Red/47425479,blank
27,Drive Medical Scout 4 Mobility Scooter (20AH/15 mile  ...,$809.00,0.0/5.0,https://www.walmart.com/ip/Drive-Medical-Scout-4-Mobility-Scooter-20AH-15-mile-range-battery-Including-Vidacura-s-Extended-5-Year-Warranty/374073151,blank
28,"Shoprider Echo 3 Wheel Scooter, Blue, 70 Pound",$599.00,4.0/5.0,https://www.walmart.com/ip/Shoprider-Echo-3-Wheel-Scooter-Blue-70-Pound/30257726,blank
29,Best Choice Products Mobility Carrier Wheelchair Ele  ...,$149.99,4.2/5.0,https://www.walmart.com/ip/Best-Choice-Products-Mobility-Carrier-Wheelchair-Electric-Scooter-Rack-Hitch-Disability-Medical-Ramp/38023636,blank
30,Zipr Mobility Zipr Roo 3 - Red Basic Scooter Good En  ...,$629.00,0.0/5.0,https://www.walmart.com/ip/Zipr-Mobility-Zipr-Roo-3-Red-Basic-Scooter-Good-Entry-Level-3-Wheels/187651743,blank
31,"Drive Medical Phoenix Heavy Duty Power Scooter, 3 Wh  ...","$1,149.00 - $1,249.00",5.0/5.0,https://www.walmart.com/ip/Drive-Medical-Phoenix-Heavy-Duty-Power-Scooter-3-Wheel/33651316,blank
32,Pride Mobility Go-Go Ultra X 4-Wheel Travel Mobility  ...,$929.00,0.0/5.0,https://www.walmart.com/ip/Pride-Mobility-Go-Go-Ultra-X-4-Wheel-Travel-Mobility-Scooter-12ah-Removable-Battery-Pack/148403242,blank
33,Drive Medical Maverick Executive Three Wheel Power S  ...,"$4,059.98",5.0/5.0,https://www.walmart.com/ip/Drive-Medical-Maverick-Executive-Three-Wheel-Power-Scooter/43224560,blank
34,Drive Medical Power Chair or Scooter Captain Seat Co  ...,$54.38,0.0/5.0,https://www.walmart.com/ip/Drive-Medical-Power-Chair-or-Scooter-Captain-Seat-Cover-18/38450505,blank
35,Pride Mobility - Go-Go ES2 - Lightweight Travel Scoo  ...,$749.00,0.0/5.0,https://www.walmart.com/ip/Pride-Mobility-Go-Go-ES2-Lightweight-Travel-Scooter-3-Wheel-Black-PHILLIPS-POWER-PACKAGE-TM/108204445,blank
36,Zip'r Roo 4-Wheel Travel Mobility Scooter,$744.00,0.0/5.0,https://www.walmart.com/ip/Zip-r-Roo-4-Wheel-Travel-Mobility-Scooter/116601460,blank
37,E-Wheels EW-85 Jellybean 500W High Power Electric Mo  ...,"$2,995.00",0.0/5.0,https://www.walmart.com/ip/E-Wheels-EW-85-Jellybean-500W-High-Power-Electric-Mobility-Scooter-Grape/45010953,blank
38,Shoprider - Escape - Portable Travel Scooter - 4-Whe  ...,$879.00,0.0/5.0,https://www.walmart.com/ip/Shoprider-Escape-Portable-Travel-Scooter-4-Wheel-Blue/110175885,blank
39,E-Wheels EW-72 4-Wheel 700W High Power Electric Mobi  ...,"$2,999.00",0.0/5.0,https://www.walmart.com/ip/E-Wheels-EW-72-4-Wheel-700W-High-Power-Electric-Mobility-Scooter-Blue/45010940,blank
40,"Drive Medical Ventura Power Mobility Scooter, 4 Whee  ...","$1,699.00 - $1,924.00",5.0/5.0,https://www.walmart.com/ip/Drive-Medical-Ventura-Power-Mobility-Scooter-4-Wheel/33651314,blank
