HearingAids,Walmart #  572196161,Vizara Hearing Aid System | Premium Bluetooth Hearin  ...,https://www.walmart.com/ip/Vizara-Hearing-Aid-System-Premium-Bluetooth-Hearing-Device-with-Recharging-Station-Right-Left-Pair/521796449,One of the pair stopped working after just a few days.  Waiting on callback from supplier.
HearingAids,Walmart #  563303414,PerfectDry LUX Automatic Hearing Aid UV-C Disinfecti  ...,https://www.walmart.com/ip/PerfectDry-LUX-Automatic-Hearing-Aid-UV-C-Disinfecting-and-Cleaning-System-by-Quest/34334951,"A well made Hearing aid dryer which looks like it wasn't made in China (construction built like a little tank) but was designed and tested in France. 4 Way UV-C Disinfection with 360 degree radiation. Powered by a 5 Volt, o.8 Amp USB connection. USB cable and Transformer provided. Transformer is a switching adapter Input 100-240 Volts-50/60Hz 0.2A. Output is 5.0V=1000mA.

A touch of a front lit button starts an automatic 30 minute Heating and disinfecting Cycle with automatic shut off at the end of the 30 minutes.

Use of this device seems to have increased the active period of my Hearing Aid Batteries (manufacturerindicates it is fine to leave batteries in this unit with battery door open). Very happy with this purchase. Was a little expensive but once I saw its construction and features I thought the price was very reasonable."
HearingAids,Walmart #  563303414,PerfectDry LUX Automatic Hearing Aid UV-C Disinfecti  ...,https://www.walmart.com/ip/PerfectDry-LUX-Automatic-Hearing-Aid-UV-C-Disinfecting-and-Cleaning-System-by-Quest/34334951,"This item has ONLY one mode, although it is listed as having two modes: (1) 30 minutes, quick and (2) 90 minutes full clean.

No information as to how to contact the munufacturer, neither information on how to operate it.

Nomrecommended."
HearingAids,Walmart #  551663902,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,"purchased the batteries on-line because my local Wal*Mart stores no longer carry hearing aid batteries. I placed a set into use and they lasted 4 days. That's it. In the past, the batteries averaged 7 days of life - still short.

I am very disappointed and will look for another brand and retail store."
HearingAids,Walmart #  551663902,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,Does the job well and lasts the longest of those previously used [This review was collected as part of a promotion.]
HearingAids,Walmart #  551663902,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,"These batteries are better than any given to me by my audiologist.
They last longer and are easier to insert and they are less expensive."
HearingAids,Walmart #  551663902,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,Great price and the convenience of home delivery
HearingAids,Walmart #  551663902,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,Came swiftly with no hassle and so easy to order.
HearingAids,Walmart #  563273645,Simply Slim Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simply-Slim-Smart-Touch-Hearing-Aid-Pair/14004237,"I have been experiencing a gradual loss of hearing over the past few years. I finally came to the realization that I needed to see what my options were. In searching the internet for amplification products I came across this product. I read all of the reviews and decided to buy the pair. In my job I deal primarily with older people and a common complaint among them was the high cost of hearing aids....and many people put off addressing their hearing problem because of this...including myself. I commonly hear numbers in the 5 to 6 thousand dollar range being talked about. I would never pay that much either.

When I received my product I easily installed the batteries that were incluced and placed each hearing aid in the appropriate ear. I was amazed at the immediate improvement in my hearing.

I am impressed with the quality of these hearing aids. They fit comfortably within each ear and are barely visible. They are very easy to use.

I wholeheartedly endorse this product to other's in similar situations."
HearingAids,Walmart #  563273645,Simply Slim Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simply-Slim-Smart-Touch-Hearing-Aid-Pair/14004237,"Only issue I have is with the initial feedback when inserting the hearing aid into my ear. But otherwise they are comfortable and work very well with my degree of hearing loss. I had hearing aids that cost me 5000, digital ear molded in the canal aids that popped out when someone hugged me and my ear was jostled which ended up with the case being cracked. The simply slims do not dislodge when jostled or need adjustment when eating. I do think I will have issues with using them on the phone because of the feedback from the handset. Hopefully the telephone pads will work. I like the slim size since I have small ear canals and they fit perfectly."
HearingAids,Walmart #  563273645,Simply Slim Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simply-Slim-Smart-Touch-Hearing-Aid-Pair/14004237,"I had the pair in for about 2 hours, and found every sound was amplified, very loud even for the lowest volume setting. The high pitched beeping of the device can come up anytime, very annoying, people next to me can hear it. I was planning to use them for my work day, but the performance is well below my expectation."
HearingAids,Walmart #  563273645,Simply Slim Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simply-Slim-Smart-Touch-Hearing-Aid-Pair/14004237,The inside the ear aids do not work well. No matter how you have them in they beep and screech. Must return for refund.
HearingAids,Walmart #  563273645,Simply Slim Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simply-Slim-Smart-Touch-Hearing-Aid-Pair/14004237,"They did boost the sound in my ears, but for me it was like talking with my head in a big can. Huge echo chamber. I did return them."
HearingAids,Walmart #  563477386,Simplicity Hi Fi EP Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,"These hearing aids were for my Mom.
She has 50% hearing loss in both ears, and debilitating Tinnitus. She was shocked and overjoyed to find that these eliminated about 75-85%  of the Tinnitus ringing in her ears. The result is she became 10 years younger,  with abundance of energy!

She got use to adjusting the volume (which she was able to learn how to do while wearing), she was able to hear me from another room. She could watch a movie on T.V. without closed captions!

Walking outside was more of a challenge since she was visiting me in NYC. She learned to turn them way down while walking down the street, because of sirens and loud trucks going by. But even still, they provided much relief from the Tinnitus therefore less stress from the street noise!
Although difficult at first, she learned how to open the battery compartment, so that every night she can save on using the battery up. I don't know yet how much this prolongs the life of the battery, but it was suggested in the instructions.

The ear piece was comfortable and she could not even feel the aid resting on her ear, nor the tube/inside ear piece that was in the ear, at all. And it was not even visible, as well! Definitely recommend!"
HearingAids,Walmart #  563477386,Simplicity Hi Fi EP Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,"I bought this pair because it is advertised for musicians. I listen a lot to music, but too soon when I increase the volume on the hearing aids there is the whistling sound of feedback. It's there to early and too often for me. I'm wearing them now for about 10 days. Seems to be the top-of-the-line product and I'm not sure if I will hang on to them."
HearingAids,Walmart #  563477386,Simplicity Hi Fi EP Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,"I purchased these for my disabled brother. When I put them on him, his face lights up!
Thank you so much for a wonderful product."
HearingAids,Walmart #  563477386,Simplicity Hi Fi EP Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,Bought them for my husband. He is extremely satisfied with them. He says he hears better with them than with the others he has had in the past that cost twice as much. He is considering buying another pair as backup.
HearingAids,Walmart #  563477386,Simplicity Hi Fi EP Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,"The 'made for musicians' claim got my interest. After four conversations with the great tech support I was confident my audiogram was typical so a one-size-fits-all unit would help me. I even got the audio distortion figures. With a 90 day trial what could I lose? I have severe to profound loss, 55 and 45 dB at 2 KHz, 75 and 65 dB at 4 KHz. I turn the volume up almost all the way. It is a tremendous help with voices although with my huge hearing loss I can't expect miracles. Orchestral music sounds as sweet as I remember. The string section sounds clean as can be. I love hearing birds and the click of my mouse button. There is no background noise problem. The devices are small, confortable, and nearly invisible. My hair touches the top of my ear and covers the unit. My only complaint is that if I accidently touch the top of the unit it turns the volume control. I have never tried a custom programmable digital hearing aid so I can't compare."
HearingAids,Walmart #  563477378,General Hearing Instruments Simplicity Hi Fi 270 Hea  ...,https://www.walmart.com/ip/General-Hearing-Instruments-Simplicity-Hi-Fi-270-Hearing-Aid-Pair/11982008,"I think I have tried out almost all of the online purchase, preset hearing devices on the market at this stage of the game, and these Simplicity Hi Fi 270 are the best that I have come across so far. For my ears anyway!
I started out 2 years ago with the $600 a pair, MD hearing aids, and then returned them before the end of their 45 day trial period, as I found the Able Planet company, in ear hearing aids, (shipped to my door for $954) to be better. Even better than the Walmart Simplicity Smart Touch hearing aids, which I also tried and returned to my local Walmart store, for my refund.
I also tried the Wamart in ear ones, Terrible! Don't even bother with those.

I was trucking along with the afore mentioned Able Planet hearing aids for 8 months and impressed with the sound quality. They work by tapping your ears twice to change the settings from 1 thru 4. The problem with this, I found was that when closing my car door from inside the car, or driving with the window open, they would change settings by themselves. Also when in a loud music enviornment like a bar, the base or drums would also change the settings on them.
I got these Hi Fi 270's shipped out to me just 2 weeks ago, and I've been wearing them ever since in place of the Able Planet ones, which now sit in a drawer at home as spares, as it is now too late to get a refund for them.
Just before I ordered these Hi Fi 270's, I went to Costco's and did a free in store trial of their, much more expensive stuff (over $2000 a pair), which they program for you in the store, but found them not even as good as the Able Planet ones which I was then using.

To conclude my review, and I hope it is not getting too confusing, I feel that these Hi Fi 270's for $954, are as good as it's going to get for me, even if I were to go out there and give $6000 or more to an audioligist.
I like the volume controls turning knobs, which allow me to adjust the volumes independantly, and they can be turned up louder than any of my previous sets. The origional size 10 batteries are still going strong, even after 2 weeks!! which makes me feel that I was correct in not going for the bulkyier looking 270 EP's with the bigger size 13 batteries.
As well as appreciating music again with these units, I can still hear people speaking more clearly, than with all the others I have used.
Thank you GHI (General Hearing Instruments) and Walmart respectively, for the best product and a great service."
HearingAids,Walmart #  563477378,General Hearing Instruments Simplicity Hi Fi 270 Hea  ...,https://www.walmart.com/ip/General-Hearing-Instruments-Simplicity-Hi-Fi-270-Hearing-Aid-Pair/11982008,"I procrastinated for years on buying hearing aids due to high prices, and the thought of visiting an ear doctor several times to get them to work correctly. What a thrill it has been to find the Simplicity Hi Fi 270 Hearing Aids. The price was reasonable and they worked perfectly right out of the box. It took me about one minute to put on both the Left and Right, and another minute to adjust the volume level to provide significant amplification without whistling. I immediately heard sounds that I had been missing for years. They greatly improve my high frequency hearing for both music enjoyment and speech recognition. At the same time, they don't over-amplify loud sounds or lower frequencies. I routinely work with a variety of loud power tools and their sounds don't cause any problem with these hearing aids. Batteries last me about 2 weeks, based on wearing them 7 days a week, for 16-18 hours per day.

The only annoyance I found is when I wear my cowboy hat, the brim causes some feedback (whistling sound) due to the Hi Fi device located behind and near the top of my ear. It's a fairly minor issue that forces me to turn down the hearing aid volume a bit to stop the whistling. Interestingly, the lower volume doesn't really reduce my hearing because the hat brim directs sounds down toward my ears anyway.

Simply put, the Hi Fi 270's enable me to hear musical highs, people who speak very softly, and my TV turned down a couple of notches from where it used to be. They accomplish all this without overpowering the sounds that I can already hear well. I commend Walmart for offering these devices at an affordable price."
HearingAids,Walmart #  563477378,General Hearing Instruments Simplicity Hi Fi 270 Hea  ...,https://www.walmart.com/ip/General-Hearing-Instruments-Simplicity-Hi-Fi-270-Hearing-Aid-Pair/11982008,"These replaced a different brand that was bigger and therefore less comfortable. The sound quality is very good, but the right ear worked fine and the left ear quickly broke, nothing but static. I'm awaiting a replacement from the manufacturer.
Shoppers should be aware that these have only a volume control, no frequency adjustments. Also no on/off switch. I open the battery compartment at night when I take them off in order to extend battery life. I've had the one ear for a couple of weeks and the battery is holding up okay.
Also, while there is some feedback, it is much much softer than what I experienced with my previous pair (the different brand ones). Assuming I get good replacement service, I would recommend these for moderate, high frequency hearing loss."
HearingAids,Walmart #  563477378,General Hearing Instruments Simplicity Hi Fi 270 Hea  ...,https://www.walmart.com/ip/General-Hearing-Instruments-Simplicity-Hi-Fi-270-Hearing-Aid-Pair/11982008,"This is my second set of hearing aids.
After four years I upgraded to the270's.
Very pleased with the results of my purchase.
 Also, the service plan is very worthwhile
Just for the peace of mind."
HearingAids,Walmart #  563477378,General Hearing Instruments Simplicity Hi Fi 270 Hea  ...,https://www.walmart.com/ip/General-Hearing-Instruments-Simplicity-Hi-Fi-270-Hearing-Aid-Pair/11982008,The poly tube is to short and keeps jumping out of the ear canal. I have to keep inserting it to get any use of the hearing device.
HearingAids,Walmart #  563300897,"SimplySoft Classic Hearing Aid, Pair",https://www.walmart.com/ip/SimplySoft-Classic-Hearing-Aid-Pair/19511759,I love my hearing aids nobody knows that I am wearing them and I was just amazed at all the things that I can hear now I take part in conversations in a crowded restaurant now and am just so excited to hear all the little things that I did not even know I was missing out on.Thank you for giving me a social life back
HearingAids,Walmart #  563300897,"SimplySoft Classic Hearing Aid, Pair",https://www.walmart.com/ip/SimplySoft-Classic-Hearing-Aid-Pair/19511759,"I have been wearing an over-the-ear hearing aid for the last couple of years. It has worked just ok. I did not like the fact the hearing aids were riding in the same place as my glasses. When the old hearing aids broke, I was determined to get an in-the-ear aid this time. I was very concerned about the price because I had paid 2500.00 for the old ones. When I found the Wal-Mart hearing aids on the internet for less than 600.00, I was skeptical to say the least. But I finally decided that I would rather waste 500+ dollars than waste another 2500.00 (or more). I ordered the hearing aids and they arrived very quickly. They are easy to use, work well and so far have good battery life. I open the aids so the battery isn't activated when in storage as suggested in the product info book and it seems to be working. I can even hear myself breathe now! I'm glad I took the chance and purchased the Wal-Mart in-the-ear aids."
HearingAids,Walmart #  563300897,"SimplySoft Classic Hearing Aid, Pair",https://www.walmart.com/ip/SimplySoft-Classic-Hearing-Aid-Pair/19511759,"My dad has pretty bad hearing. This didn't work for him, good thing is that I got it from walmart and all I had to do was go to the store and get a refund on it. Just have to make sure you are buying from wally world and not from some other seller. Maybe it's good for those with not so bad hearing. Not for the really old and bad ears like my dad."
HearingAids,Walmart #  563300897,"SimplySoft Classic Hearing Aid, Pair",https://www.walmart.com/ip/SimplySoft-Classic-Hearing-Aid-Pair/19511759,I have tried a lot of different pairs of hearing aids and this one has turned out to be my favorite. Its a shame that hearing aids aren't covered under most insurance. It's like the forgotten illness. Take care.
HearingAids,Walmart #  563300897,"SimplySoft Classic Hearing Aid, Pair",https://www.walmart.com/ip/SimplySoft-Classic-Hearing-Aid-Pair/19511759,"These are good for hearing, but be prepared for whistling noises. I have to continue to push these back in my ears all day long because of whistling noises. When they are all the way in I can hear great but I have to push them back in on average about 10 times an hour."
HearingAids,Walmart #  551177593,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-24-Pack/23810302,"I know Duracell as the copper top battery and
I tried other hearing aide batteries and nothing
out performs a Duracell and the 24 count is a deal.
I also checked other retail stores online and nothing
comes close to Wal-Marts low priced hearing aide
batteries."
HearingAids,Walmart #  551177593,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-24-Pack/23810302,These Batteries last at least a day or two longer compared to other similar products and have tried most.
HearingAids,Walmart #  551177593,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-24-Pack/23810302,"My wife is very happy with the tabs. The tabs make handling the batteries much easier.
These batteries are also about 40% cheaper than the standard Duracell batteries at our local outlet."
HearingAids,Walmart #  551177593,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-24-Pack/23810302,"Not only is Duracell battery a vary good battery, as for the hearing-aid ones, I like the long tab they give you to aid in putting the battery in the hearing-aid. It is so much easier to grasp the long tab and hold on to it while placing the battery in position."
HearingAids,Walmart #  551177593,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-24-Pack/23810302,I like the idea of being able to purchase a larger amount of batteries for my hearing aids. Thus cutting down on the trips that I need to make to purchase them and always having them on hand.
HearingAids,Walmart #  567399050,"Rayovac Size 13 Hearing Aid Batteries, 24-Pack 13-24",https://www.walmart.com/ip/Rayovac-Size-13-Hearing-Aid-Batteries-24-Pack-13-24/157638136,"The Rayovac size 13 pack of 16 hearing aid batteries purport to last longer than other brands, and this certainly appears to be true.  The first one I used lasted about 20 days. They come with the guarantee that if this is not the case, then you are entitled to ask for your money back.  The packaging allows for easy access, especially important for the elderly who do not want to have to fiddle with ""hard to access"" batteries.  The packaging also fits conveniently into a pocket or a purse.

This is a mercury-free product.  Not only is this a benefit as far as the environment is concerned, it does not detract from the performance as far as the hearing aid itself is concerned.  It can be disposed of with normal household waste safe in the knowledge that no mercury is impacting the environment.

I would definitely recommend this product based on price, convenience, and durability. [This review was collected as part of a promotion.]"
HearingAids,Walmart #  567399050,"Rayovac Size 13 Hearing Aid Batteries, 24-Pack 13-24",https://www.walmart.com/ip/Rayovac-Size-13-Hearing-Aid-Batteries-24-Pack-13-24/157638136,"Plenty of batteries in the pack, also from a great brand I can trust. My brother in law suffers from hearing loss after being deployed. He is quite thankful to have these batteries on him at all times so he can hear. [This review was collected as part of a promotion.]"
HearingAids,Walmart #  567399050,"Rayovac Size 13 Hearing Aid Batteries, 24-Pack 13-24",https://www.walmart.com/ip/Rayovac-Size-13-Hearing-Aid-Batteries-24-Pack-13-24/157638136,"Great reliable product , batteries have long  battery life. [This review was collected as part of a promotion.]"
HearingAids,Walmart #  567399050,"Rayovac Size 13 Hearing Aid Batteries, 24-Pack 13-24",https://www.walmart.com/ip/Rayovac-Size-13-Hearing-Aid-Batteries-24-Pack-13-24/157638136,"The Rayovac hearing aid battery has a pull tab that, next to the Duracell's, is the easiest to grasp. I judge these to be a good comprise between the number of the days the batteries last and the convenience of pull tab that is moderately easy to grasp.

It seems counter-intuitive that many brands of hearing aid batteries have tabs that may prove problematic for the elderly to grasp. The elderly, being the very demographic most likely to use hearing aids, often are the ones who may have the most physical or mental challenges associated with grasping small battery tabs. The Duracell folks have got the pull tab design that is the most convenient. However, I found that they last a full two days shorter than the batteries made by Rayovac.

I'm pleased with my recent purchase."
HearingAids,Walmart #  567399050,"Rayovac Size 13 Hearing Aid Batteries, 24-Pack 13-24",https://www.walmart.com/ip/Rayovac-Size-13-Hearing-Aid-Batteries-24-Pack-13-24/157638136,"I like the long life of these batteries, the ease of opening the packages, and being able to dispose them in my household garbage!

Cost also plays a big part, in a fixed income budget.
With two hearing aids, you can see they play a big part in the quality of my life."
HearingAids,Walmart #  570640221,Alpha 9 Hearing Aid | Premium Bluetooth Hearing Aid   ...,https://www.walmart.com/ip/Alpha-9-Hearing-Aid-Premium-Bluetooth-Hearing-Aid-Device-Patented-Noise-Blocking-System-Right-or-Left-Year-Supply-of-Batteries-Included/986943329,"I bought these for myself after my husband spent over $4,000 on hearing aids. He accidentally wore my new pair one day and he didnt notice a difference.  Money well spent."
HearingAids,Walmart #  570640221,Alpha 9 Hearing Aid | Premium Bluetooth Hearing Aid   ...,https://www.walmart.com/ip/Alpha-9-Hearing-Aid-Premium-Bluetooth-Hearing-Aid-Device-Patented-Noise-Blocking-System-Right-or-Left-Year-Supply-of-Batteries-Included/986943329,"
Hello, Thank you for the FANTASTIC Review. My WHOLE Team, and your Dedicated Hearing Aid Expert that personally helped you with your Customized Hearing Program, is thrilled with your positive experience. We hope that THOUSANDS of WALMART shoppers will take a chance with our hearing solutions, as we know we can get them to HEAR AGAIN, and most importantly, START to ENJOY LIFE Again. Warm Regards, Your Hearing Aid Experts at InnerScope Hearing Technologies
"
HearingAids,Walmart #  570640221,Alpha 9 Hearing Aid | Premium Bluetooth Hearing Aid   ...,https://www.walmart.com/ip/Alpha-9-Hearing-Aid-Premium-Bluetooth-Hearing-Aid-Device-Patented-Noise-Blocking-System-Right-or-Left-Year-Supply-of-Batteries-Included/986943329,By far the best hearing-aids I've ever owned and 1/2 the cost of the other brands. So thankful for affordable hearing-aids
