"Health o Meter HDR743 Digital Bathroom Scale, 350 lb Capacity",$17.88,3.2/5.0,https://www.walmart.com/ip/Health-o-Meter-HDR743-Digital-Bathroom-Scale-350-lb-Capacity/10264542,"Get ready to reach your weight loss goals with help from the Health O Meter Scale It features a 1&quot; display that gives you clear and crisp numbers for a precise reading and also measures weight up to 300 lbs in 02 lbs increments This splitmat bath scale also comes with a 9V battery It is lightweight, has textured pads on the top and offers convenient stepon technology No need to tap it first, the numbers light up in red and are easy to see Digital scales are what dominate the market today because they are easy to use, extremely accurate and can have an incredibly low profile If youre looking for the best digital scale to use in your home, then youre going to want this Health O Meter Scale",Walmart #  001190981
Ozeri Precision Digital Bath Scale (400 lbs Edition)  ...,$12.95,4.4/5.0,https://www.walmart.com/ip/Ozeri-Precision-Digital-Bath-Scale-400-lbs-Edition-in-Tempered-Glass-with-Step-on-Activation/37417379,"The new Ozeri Precision Digital Bathroom Scale features autocalibration technology that makes tracking your weight easy, right out of the box With the latestgeneration of StepOn Activation, your body weight is displayed immediately upon stepping onto the scale, with no tapping required to turn on or activate the scale The Ozeri Precision Digital Bathroom Scale accurately displays results in increments of 02 pounds or 01 kilograms on its easy to read widescreen LCD, and uses GX sensors to capture weights up to 400 lbs or 180 kg with industryleading accuracy It also boasts a convenient unit button that instantly changes the unit of measurement from pounds to kilograms and British stones The Ozeri Precision Digital Bathroom Scale is accurate and easy to use, and durably made out of impactresistant tempered glass It turns off automatically to conserve battery life, and runs on 1 Lithium 2032 battery included for the best in performance Your Satisfaction is 100% Guaranteed",Walmart #  552819579
"Health o Meter HDR743 Digital Bathroom Scale, 350 lb  ...",$17.88,3.2/5.0,https://www.walmart.com/ip/Health-o-Meter-HDR743-Digital-Bathroom-Scale-350-lb-Capacity/10264542,"Get ready to reach your weight loss goals with help from the Health O Meter Scale It features a 1&quot; display that gives you clear and crisp numbers for a precise reading and also measures weight up to 300 lbs in 02 lbs increments This splitmat bath scale also comes with a 9V battery It is lightweight, has textured pads on the top and offers convenient stepon technology No need to tap it first, the numbers light up in red and are easy to see Digital scales are what dominate the market today because they are easy to use, extremely accurate and can have an incredibly low profile If youre looking for the best digital scale to use in your home, then youre going to want this Health O Meter Scale",Walmart #  001190981
Health O Meter Professional Body Fat Digital Scale w  ...,$39.84,2.3/5.0,https://www.walmart.com/ip/Health-O-Meter-Professional-Body-Fat-Digital-Scale-with-DCI-Technology-BFM081DQ1-63/51235438?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=6cfb3158a6ea5b694af45415a1ba82e1&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"Take the guesswork out of weight management with the Health O Meter Professional Body Fat Scale With advanced technology to ensure precision, this digital bathroom scale measures weight up to 400 pounds in 02pound increments It also shows body fat, hydration level, bone mass, muscle mass, and Body Mass Index BMI to provide a more complete picture of total fitness Equipped with DCI technology, this smart scale calculates the maximum daily caloric intake required to achieve your goal weight The large backlit LCD display is easy to read, and the buttons along the top edge of the scale provide simple, intuitive operation This scale can store and track the last six weighins for up to four users The extrawide, tempered glass size platform provides sturdy support for users of most sizes",Walmart #  554211617
Taylor Precision Products 7506 Chrome & Glass Lithiu  ...,$27.42,4.5/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-7506-Chrome-Glass-Lithium-Digital-Scale/14311191,"This Taylor Digital Scale helps you keep track of your weight It features a stylish, hightempered glass platform with a chrome finished base The sleek design allows it to blend with all types of bathroom decor This battery digital scale is accurate up to 400 lbs It measures weight in 2 lb increments on a large 15&quot; LCD display",Walmart #  001131235
Health o meter Lose It! Wireless Glass Body Fat Scal  ...,$46.10,3.2/5.0,https://www.walmart.com/ip/Health-o-meter-Lose-It-Wireless-Glass-Body-Fat-Scale-for-iPhone-BFM147DQ-01/33379098,"This HealthOMeter Lose It Bluetooth Body Fat Scale wirelessly transmits data to the Lose It app The elegant glass platform holds up to 400 lbs, ensuring it can be used by most adults The Lose It app allows you to track your measurements and to input caloric intake and exercise The HealthOMeter scale can measure hydration and BMI, as well Its an easytouse device that can be easily stored under a sink or in a cupboard when not in use",Walmart #  551402084
Ozeri Touch 440 lbs Total Body Bath Scale â€“ Measures  ...,$24.00,4.4/5.0,https://www.walmart.com/ip/Ozeri-Touch-440-lbs-Total-Body-Bath-Scale-Measures-Weight-Fat-Muscle-Bone-Hydration-with-Auto-Recognition-and-Infant-Tare-Technology/33412350,"Newly updated, the Ozeri Touch 440 lbs Total Body Scale now provides instant adult and infant weight measurements, and calculates body fat, hydration, muscle mass and bone measurements Embedded with StepOn technology, it automatically powers on upon contact and features 4 touch sensitive buttons for easy operation It also features 4 icons that automatically illuminate on the screen for body fat, hydration, muscle and bone measurements The Ozeri Touch includes builtin memory for up to 8 users with auto recognition technology for shared use at home, the office or the gym Each profile stores weight, gender, height, and age data so that your family members can each track their progress The Ozeri Touch Total Body Scale combines advanced algorithms with bioelectrical impedance analysis BIA, incorporating a persons age, height, gender and weight, for its accurate measurements BIA is a wellestablished and respected method used to estimate body fat, hydration, muscle mass and bone measurements The Ozeri Touch Total Body Scale displays all results on its easy to read highcontrast LCD screen It utilizes 4 latest generation GX sensors to capture weights up to 440 lbs 200 kg with industry leading accuracy With its innovative Tare feature, the Ozeri Touch Bath scale also eliminates all the stress with weighing an infant or pet Simply step on the scale to record your weight, step off and back on again while carrying your infant or pet, and the scale accurately displays both weights on separate sections of its bright LCD The Tare feature also works as a handy luggage scale so there are no unpleasant surprises at the airport, and it just as easily weighs parcels and boxes It turns off automatically to conserve battery power, and runs on 2 included Lithium batteries for optimal performance The scale is made of impact resistant tempered glass which is 4 times stronger than normal glass, and boasts a reflective surface and elegant design",Walmart #  552819561
Taylor Precision Products 75624072 Glass Digital Sca  ...,$22.82,3.7/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-75624072-Glass-Digital-Scale/22046340,Keep track of your weight and complement your bathroom decor with the Taylor Glass Digital Scale This modern scale features a reverse LCD readout with red or blue backlit digits and holds up to 400 lbs,Walmart #  550709305
Taylor 7595 Digital Glass Bathroom Scale with 2 User  ...,$24.88,1.8/5.0,https://www.walmart.com/ip/Taylor-7595-Digital-Glass-Bathroom-Scale-with-2-User-Memory/53998845,"For the ultimate in performance and weighttracking precision, turn to the Taylor 7595 Digital Glass Bathroom Scale with 2 User Memory An oversized 122 x 122 clear tempered glass platform with sophisticated brushed stainless steel accents anchor its timeless design, while the might of Taylors heritage ensures you will always receive the most accurate results This digital bathroom scale features a 32 x 15 LCD readout with blue backlight, displaying accurate measurements up to 440 lb/200 kg in 02 lb/01 kg increments This scale will display icons for gain or loss versus previous weighins with memory for 2 users Inside the box, you will find the Taylor 7595 Digital Glass Bathroom Scale with 2 User Memory, an instruction manual, and 3 branded AAA batteries This scale is backed by a 5Year limited warranty",Walmart #  555959952
Taylor 7519 Ultra-Thick Digital Glass Bathroom Scale  ...,$35.48,4.4/5.0,https://www.walmart.com/ip/Taylor-7519-Ultra-Thick-Digital-Glass-Bathroom-Scale-with-Backlit-LCD-Display/11089592,"or the ultimate in performance and precision, turn to the Taylor 7519 Digital Glass Bathroom Scale with Backlit LCD Display An extralarge 13 x 13 platform constructed of ultrathick 10mm durable, clear tempered glass commands attention, while opulent metallic silver accents compliment this scales timeless design This digital bathroom scale features a generous 30 x 14 AccuGlo LCD readout with blue backlight, prominently displaying accurate measurements up to 440 lb/200 kg in 02 lb/01 kg increments Inside the box, you will find the Taylor 7519 Digital Glass Bathroom Scale with Backlit LCD Display, an instruction manual, and 3 branded AAA batteries This scale is backed by a 5Year limited warranty",Walmart #  001107263
My Life My Shop Digital Scale and Body Analyzer,$35.00,4.8/5.0,https://www.walmart.com/ip/My-Life-My-Shop-Digital-Scale-and-Body-Analyzer/47701093,"Whether youre attempting to slim down, training for a competition, or simply committing to a healthy lifestyle, your weight alone doesnt tell the whole story With the My Life My Shop Digital Scale and Body Analyzer, you can keep track of your personal goals and measure vital body composition statistics to get a complete and accurate picture of your overall health The My Life My Shop Digital Scale and Body Analyzer measures your body fat percentage, muscle mass, bone density, and water weight through an undetectable electrical current transmitted through your body via the stainless steel pads on the body analyzer platform providing you with a Bio Impedance Analysis, or BIA The My Life My Shop Digital Scale and Body Analyzer is easy to set up and use and the body analyzer can store information for up to 8 users Oh, and your weight? It measures and stores that too, in pounds and kilograms up to 397 pounds",Walmart #  554816310
Health o meter Weight Tracking Digital Scale,$19.88,2.4/5.0,https://www.walmart.com/ip/Health-o-meter-Weight-Tracking-Digital-Scale/8245670,"This HealthOMeter Weight Tracking Digital Scale can make a difference in a successful health and fitness plan Featuring advanced technology, its precise and accurate to take the guesswork out of weight management Known as &quot;The Doctors Scale,&quot; it stores information and tracks the last weighin for up to two users for quick and easy tracking The 28&quot; x 13&quot; LCD display makes reading your weight easy while the fourload cell technology helps ensure dependable performance This HealthOMeter is batteryoperated and measures up to 350 lbs in 02 lb increments Whether youre trying to lose weight or just monitor your health, this device is designed to help makes it simple",Walmart #  001160761
Taylor Precision Mechanical Analog Bath Scale,$8.79,5.0/5.0,https://www.walmart.com/ip/Taylor-Precision-Mechanical-Analog-Bath-Scale/16541957,"Taylor Precision Mechanical Analog Bath Scale with a 300 pound capacity displays weight in both pounds and kilograms, offering great versatility",Walmart #  554299132
Taylor Mechanical Analog Bath Scale Style 11306072T,$46.45,3.7/5.0,https://www.walmart.com/ip/Taylor-Mechanical-Analog-Bath-Scale-Style-11306072T/11089584,"The Taylor Analog Bath Scale is a convenient way to monitor your weight It has a mechanical design with solidsteel construction for longlasting use With colorcoded weight indicators, it can help you keep track of personal goals This Taylor bath scale has a 330 lb weight capacity and a 7&quot; speedometerstyle dial thats easy to read at a glance",Walmart #  1107205
"Conair Weight Watchers Compact Scale, 10""x11"", Chrom  ...",$19.55,4.0/5.0,https://www.walmart.com/ip/Conair-Weight-Watchers-Compact-Scale-10-x11-Chrome/19500934,Weight Watchers Compact Precision Scale in white EasytoRead 1inch Digital Display; Polished Chrome Bezel; 10 x 11inch Highgloss Black Platform; 330 lb Weight Capacity; Displays weight in 05 lb/200 g increments; Longlife lithium battery included,Walmart #  550191748
Omron Body Composition Monitor with Scale - 7 Fitnes  ...,$69.99,4.2/5.0,https://www.walmart.com/ip/Omron-Body-Composition-Monitor-with-Scale-7-Fitness-Indicators-90-Day-Memory/15604612,"The HBF514C provides Full Body Sensing  a comprehensive understanding of your body composition to help you reach your fitness goals Full body sensing is more accurate than measuring with feet alone Easy to use, the HBF514C measures 7 fitness indicators including body fat, visceral fat, BMI, skeletal muscle, resting metabolism, body age and body weight It includes an easy on/off switch at the base, 4 AA batteries and a oneyear warranty",Walmart #  551425324
Salter 916 Professional Large Dial Mechanical Bath S  ...,$34.62,1.8/5.0,https://www.walmart.com/ip/Salter-916-Professional-Large-Dial-Mechanical-Bath-Scale/39461234,"Add a touch of timeless elegance to any environment with the classic Salter 916 Professional Large Dial Mechanical Bath Scale This classic scale boasts an easytoread 75 mechanical dial, providing accurate measurements up to 400 lbs/180kgs with a precise pointer The robust 1825&quot; x 13&quot; powdercoated steel base is highlighted by the professional quality of the timeless chrome bezel and a rubberized nonslip mat The study construction of the generous platform makes for a comfortable experience, while its easytoclean high capacity design ensures accurate weight readings for years to come Inside the box, you will find the classic Salter 916 Professional Large Dial Mechanical Bath Scale and an instruction manual This scale is backed by a 5Year limited warranty",Walmart #  553131243
BalanceFrom Digital Body Weight Bathroom Scale with   ...,$10.00,4.2/5.0,https://www.walmart.com/ip/BalanceFrom-Digital-Body-Weight-Bathroom-Scale-with-Step-On-Technology-and-Backlight-Display-400-Pounds-Silver/249198048,"BalanceFrom Digital Body Weight Bathroom Scale with StepOn Technology and Backlight Display, 400 Pounds, Silver",Walmart #  571870492
Taylor Lithium Digital Thin Profile Bath Scale Model  ...,$25.04,4.2/5.0,https://www.walmart.com/ip/Taylor-Lithium-Digital-Thin-Profile-Bath-Scale-Model-7340/11089590,"Keep track of your fitness goals with the Taylor 7340 NonSlip Digital Bathroom Scale with Extra Large Display The extra wide 140 x 122 platform features a nonslip, rubberized finish for added convenience With an extralarge 37 x 20 LCD readout prominently displaying accurate measurements up to 440 lb/200 kg capacity in 02 lb/01 kg increments This Digital Bathroom scale features Stepon Instant Read, automatically registering and displaying your weight as soon as your step on the platform Inside the box, you will find the Taylor 7340 NonSlip Digital Bathroom Scale with Extra Large Display, an instruction manual, and 1 branded Lithium battery This scale is backed by a 5Year limited warranty",Walmart #  001107249
Taylor 740541032 Digital Scale,$31.43,4.3/5.0,https://www.walmart.com/ip/Taylor-740541032-Digital-Scale/11089589,Taylor Digital bath Scale with Lithium Battery and 440 pound capacity in 02 lb increments; large 12quot; LCD readout w/ AcuGlotmblue backlight; rubberized carry handle; nickel accented platform; requires 4 AAA batteries included,Walmart #  001107242
Fitbit Aria 2 Wi-Fi Smart Scale,$128.95,4.6/5.0,https://www.walmart.com/ip/Fitbit-Aria-2-Wi-Fi-Smart-Scale/915820231,"Get information and motivation to reach your goals with the Fitbit Aria 2 WiFi Smart Scale This sleek scale gives you a clear, holistic picture of your health and body composition by accurately measuring weight, body fat percentage, lean mass and BMIall in one step Reengineered with the latest technology, Aria 2 captures data with greater precision than ever And with builtin Bluetooth, you can set it up in just a few minutes from your smartphone Easy to set up and even easier to use, this sleek scale syncs your stats automatically to the Fitbit app, so you can see how everything you do adds upfrom steps to exercise to nutrition Aria 2 works seamlessly with Fitbit trackers so you have more tools to help you reach your weight goals Weight trends often share a relationship with exercise activity, resting heart rate, and even sleep habits Compare your food consumption and exercise against your weight trends for a more wellrounded picture of your health Logging food and exercise is quick and easy on the Fitbit app The more you log, the better analysis youll get of your health and progress Shortterm fluctuations in weight dont always give you a realistic view of your health and fitnessits the longterm trends that matter most Through easytoread graphs on the Fitbit app and online dashboard, Aria 2 helps show you the bigger picture so you can take control of your results Aria 2 is meant to be shared This smart scale can recognize up to 8 users while keeping individual stats private Every time you step on the scale, Aria 2 recognizes who you are, displays your data, and sends your stats straight to your Fitbit account",Walmart #  565633996
Health O Meter Baby Toddler Scale (HDC100KD-01),$41.99,4.8/5.0,https://www.walmart.com/ip/Health-O-Meter-Baby-Toddler-Scale-HDC100KD-01/2676641,Health O Meter Baby Toddler Scale For kids Convertible scale great for weighing infant and toddlers Confidence your child is getting the right amount to eat &amp; drink Security lock for tray stability during use Tray holds baby in sitting or lying position Removable tray for use as a toddler scale Easy to read large display Use for many years converts to a toddler scale with weight up to 60lbs,Walmart #  1160542
Taylor Precision Products 75274192 Digital Glass Sca  ...,$19.36,4.5/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-75274192-Digital-Glass-Scale/17133113,Weigh in with style This Taylor Digital Glass Scale provides all the advanced features of Taylors electronic scales with sleek modern styling that makes the bath scale too beautiful to hide,Walmart #  001171434
Health o Meter Professional Dial Scale (145KD-41),$28.81,3.9/5.0,https://www.walmart.com/ip/Health-o-Meter-Professional-Dial-Scale-145KD-41/14706446,Professional dial scale features an oversized platform and softtouch mat for steady footing Scale measures up to 400 lb in 1 lb increments and includes an oversized dial for an easy readout Dial scale is equipped with a chrome finished bezel,Walmart #  550098154
"Full Body Sensing Floor, Body Analyzer / Scale OMRON  ...",$63.99 - $78.99,3.7/5.0,https://www.walmart.com/ip/Full-Body-Sensing-Floor-Body-Analyzer-Scale-OMRON-Large-LCD-Display-Sliver-and-White/10893854,"The FullBody Composition Monitor and Scale provides full body sensing, which is a comprehensive understanding of your body composition to help you reach your fitness goals Full body sensing is more accurate than measuring with feet alone It is easy to use and the HBF510W measures five fitness indicators including body fat, visceral fat, BMI, skeletal muscle and body weight It features a fourperson profile, an easy on/off switch at base, a large LCD display and a retractable cord This body fat and monitor scale gives you measurements in the comfort of your own home anytime you want Measuring your weight in conjunction with other readings gives you a clearer picture of what is going on with your body making this an ideal addition to improving your health This convenient and reliable FullBody Composition Monitor and Scale helps you to know your numbers to help you reach your goals",Walmart #  4046910
Salter 914whlkr Infant & Toddler Bath Scale,$46.54,4.8/5.0,https://www.walmart.com/ip/Salter-914whlkr-Infant-Toddler-Bath-Scale/11063127,"The Salter Baby and Toddler Bath Scale is the perfect product for parents who want to keep track of their childrens weight at home or between doctor visits The scale features a comfortable, securely fitted weighing tray to keep babies safely in place when being weighed It also comes with a Hold feature to keep accurate weight on the display, even when your child moves around To continue using the scale when your child grows older, it easily converts to a toddler scale by simply removing the trayThe scale has an easytoread 12&quot; LCD readout and comes with autozero and auto off features It is accurate up to 44 pounds and measures in 05 oz increments",Walmart #  001108117
Taylor Precision Products 70844191m Talking Digital   ...,$31.99,4.4/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-70844191m-Talking-Digital-Scale/25490267,"The Taylor Talking Digital Scale helps you to monitor your weight, while complementing your bathroom decor This scale announces the weight reading in English, Spanish, Greek, German or Croatian",Walmart #  551555310
Conair Ww44y Weight Watchers Glass Scale,$43.09,4.2/5.0,https://www.walmart.com/ip/Conair-Ww44y-Weight-Watchers-Glass-Scale/10972654,"The Conair WW44Y Weight Watchers Glass Scale makes it easy to manage your diet It has an oversized, easytoread, large 15&quot; digital display for readings This Conair glass scale also comes with a highstrength, impactresistant platform with a polished chrome frame, which will look stylish in just about any bathroom Its easy to activate by simply tapping, touching or stepping on it when youre ready to use it This Conair WW44Y Weight Watchers Glass Scale displays your weight in 1 lb increments, giving you the precise readings you need to chart your progress Its compact design also makes it easy to store when not in use",Walmart #  001101806
Conair WW39Y Weight Watchers Digital Glass & Chrome   ...,$29.99,4.3/5.0,https://www.walmart.com/ip/Conair-WW39Y-Weight-Watchers-Digital-Glass-Chrome-Scale/5750827,,Walmart #  563786396
"Taylor 9856 White Superbrite 1.3"" Display Scale",$28.40,5.0/5.0,https://www.walmart.com/ip/Taylor-9856-White-Superbrite-1-3-Display-Scale/17469380,"At Taylor, we take an uncompromising stance in ensuring our products deliver the highest levels of accuracy and durability The Taylor 9856 digital scale, with its brilliant red LED display, is the apex of these principles, guaranteeing the most precise measurements and trusted toughness The 9856 can handle weights up to 350 pounds/160 kilograms in 02pound/01kilogram increments Its molded white 115inch square platform ensures a comfortable weighing experience Most notably, its large 13inch red LED readout makes this scale easy to read whatever the light condition The 9856 is designed for visibility, its red LED display capable of penetrating even the darkest of bathrooms with ease In addition, the scale is designed with an instanton feature that ensures your weight is ready to be displayed the moment you step on the platform",Walmart #  554509936
"Health O Meter Dial Scale, White",$7.78,0.0/5.0,https://www.walmart.com/ip/Health-O-Meter-Dial-Scale-White/867764201,"Keeping track of weight is a critical part of weight management, so why not make it as simple as possible with a Health O Meter Dial Scale This bath scale lets you take the guesswork out of weight management because Health O Meter uses the most advanced technology to ensure accuracy and precision The scale is accurate up to 300 lbs and compact for easy storage The dial scale is easytoread/p",Walmart #  564189264
Ozeri Rev Digital Bathroom Scale with Electro-Mechan  ...,$28.70,4.8/5.0,https://www.walmart.com/ip/Ozeri-Rev-Digital-Bathroom-Scale-with-Electro-Mechanical-Weight-Dial/55047662,"The Ozeri Rev Digital Bathroom Scale with ElectroMechanical Weight Dial is the worlds first weight scale to incorporate a synchronized electromechanical Dial and LCD that automatically illuminate and point to your weight in lbs and kg, for easyto read results in all light conditions and from any angle Boasting a visually arresting design, the Ozeri Rev scale features a huge 55 inch mechanical dial display with an integrated digital bluebacklit LCD, accented by stylish chrome to create a distinctive retro look, yet with the accuracy of modern technology This professional quality scale features an oversized platform made of impactresistant tempered glass with slipresistant feet for ideal stability, and a new builtin alarm that reminds you to measure your weight at the same time each day The Ozeri Rev Digital Bathroom Scale uses 4 high precision GX sensors that weigh up to 400 lbs 180 kg in 02 lbs or 01 kg increments Whether your goals are weight loss or muscle gain, the Ozeri Rev features the latest generation of StepOn technology to display your precise body weight upon stepping onto the scale, with no tapping required The Ozeri Rev Digital Bathroom Scale is autocalibrated and automatically turns off to conserve battery life It runs on 3 AA batteries included and features a Low Battery Indicator Your Satisfaction is 100% Guaranteed",Walmart #  556627713
QardioBase 2 Wireless Smart Scale and Body Analyzer   ...,$149.00,0.0/5.0,https://www.walmart.com/ip/QardioBase-2-Wireless-Smart-Scale-and-Body-Analyzer-Arctic-White/968531261,"QardioBase is the smart way to track your weight, BMI and body composition QardioBase 2 Wireless Smart Scale and Body Analyzer  Arctic White",Walmart #  565672689
Ozeri Precision II Digital Bathroom Scale (440 lbs C  ...,$21.71,5.0/5.0,https://www.walmart.com/ip/Ozeri-Precision-II-Digital-Bathroom-Scale-440-lbs-Capacity-with-Weight-Change-Detection-Technology-StepOn-Activation/971824461,"Newly updated, the sturdy Ozeri Precision II Digital Bathroom Scale now features Ozeris Weight Change Detection Technology that highlights your net weight change in GREEN for Weight Loss and in RED for Weight Gain by calculating the change of your current weight from your previous recorded weight With its builtin memory, you never have to worry about writing down your current weight just to see how your weight changes between weighins Each time you step on the scale it will display your current weight and your net weight change will illuminate GREEN for weight loss and RED for weight gain, providing a visual form of intuitive feedback so that you can focus on your trend and not just the numbers Whether your goals are weight loss or muscle gain, the Ozeri Precision II Digital Bathroom Scale features the latest generation of StepOn Technology that measures up to 440 pounds upon stepping onto the scale, with no tapping required to turn on or activate the scale It ships with a BONUS Tape Measure for waist, thigh, arm and other measurements, AND a FREE Body Fat Caliper to confirm your weight management progress as muscles grow and unwanted fat goes away Simply EVERYTHING you need, backed by Ozeris 100% HassleFree Satisfaction GuaranteeThe Ozeri Precision II Digital Bathroom Scale features automatic calibration for consistently accurate weighins, and automatic turnoff to conserve battery life It uses 4 latest generation GX sensors to capture weights up to 440 lbs / 200 kg with industry leading accuracy, and displays results in precise increments of 02 lbs or 01 kg on its ultrabright screen The Ozeri Precision II Digital Bathroom Scale combines a reinforced platform made of impact resistant tempered glass, durable construction, and nonslip feet that will not scratch floors It is designed for accuracy, convenience and ease of use, and empowers you with the critical tools needed to measure and track your weight management program Ships with 4 AAA batteries Your satisfaction is guaranteed",Walmart #  563148745
Weight Watchers Ww721 Weight Watchers Glass Body Ana  ...,$40.02,0.0/5.0,https://www.walmart.com/ip/Weight-Watchers-Ww721-Weight-Watchers-Glass-Body-Analysis-Scale/197410494,"This Weight Watchers by Conair Glass Body Analysis Scale uses two fitness modes to more accurately measure body fat, body water, bone mass and BMI, as well as weight All the health metrics are then displayed, 5 measurements at a glance, on a jumbo, blue backlit LCD for viewing in all lighting conditions The modern design features an impactresistant tempered safety glass platform that holds up to 400 lbs, displayed in 01 lb increments",Walmart #  554181162
Taylor Digital Bathroom Scale,$17.98,5.0/5.0,https://www.walmart.com/ip/Taylor-Digital-Bathroom-Scale/428883780,"With its durable construction, clean lines and digital technology, the Taylor 7358GW Digital Scale is a great value The large 12&quot; x 12&quot; platform is made of durable, tempered glass with a plastic overlay and has a high capacity of 400 lb and with 02 lb increments readings The oversized display which is 29&quot; x 2&quot; makes it very easy to read It boasts an instant on feature This eliminates the need to tap the platform or fuss with a power switch; simply stand on the scale, and your measurements will appear ACCURACY &amp; STYLE",Walmart #  565729502
